사업명,부품관리번호,재고번호,군급분류,품명,도면번호,도면부품번호,규격번호,계약업체,최종수정일
K-2 전차,M51322578,375016110,1015.0,"하우징,하부용",60723544,60723544,,한화디펜스 주식회사,
K-2 전차,M51322407,375013478,7690.0,데칼,60723311,60723311,,한화에어로스페이스 주식회사,
K-2 전차,M51322571,375017372,5310.0,"와셔,평면형",60723538,60723538,,태창정밀,
K-2 전차,M00041628,375219328,5340.0,"브래킷,설치용",61519014,61519014,,현대로템 주식회사,
K-2 전차,M00041631,375219326,5340.0,"브래킷,설치용",61519035,61519035,,주식회사 경성엠티,
K-2 전차,M00043369,375013560,3120.0,"부싱,슬리브형",60725713,60725714,,부산교도소,
K-2 전차,M51345523,375013679,5310.0,"와셔,평면형",60799301,60799311,,태창정밀,
K-2 전차,M00041636,375167143,6110.0,"제어장치,원격스위치용",61519101,61519101,,현대로템 주식회사,
K-2 전차,M51373897,375235903,5998.0,회로카드 조립체,61520170,61520170-6,,현대로템 주식회사,
K-2 전차,M51373926,375235891,5998.0,회로카드 조립체,61520230,61520230,,현대로템 주식회사,
K-2 전차,M51357510,375167712,5365.0,"부싱,원형",60827107,60827107,,태창정밀,
K-2 전차,M00043104,375166516,5340.0,"덮개,보호,먼지와 습기 밀폐용",61500207,61500207,,평화정밀,2021-06-14
K-2 전차,M00041609,375166184,1220.0,"컴퓨터,사격통제용",61517301,61517301,,현대로템 주식회사,
K-2 전차,M51372914,375243594,5998.0,회로카드 조립체,61517309,61517309,,현대로템 주식회사,
K-2 전차,M51345523,375013679,5310.0,"와셔,평면형",60799301,60799311,,태창정밀,
K-2 전차,M51319854,375015272,9905.0,"판,안내용",60711106,60711106,,한화시스템(주),
K-2 전차,M00003145,375018839,2540.0,"상자,부속품 적재용",60755400,60755400,,(주)대립,
K-2 전차,M00042815,375018644,4930.0,"주유기,수동식",60755001,60755001,,가온기업,2021-06-14
K-2 전차,M00042816,375018653,4930.0,"어댑터,그리스 주입기 커플링용",60755030,60755030,,주식회사 지스타,2021-06-14
K-2 전차,M00042817,375018721,5140.0,"권낭,공구 및 부속품용",60755190,60755190,,주식회사 지스타,2021-06-14
K-2 전차,M00042819,375018860,8125.0,"병,도포구용",60755295,60755295,,현대로템 주식회사,
K-2 전차,M00042820,375018861,7240.0,깔때기,60755305,60755305,,대성기업,2021-06-14
K-2 전차,M00042821,375019636,6230.0,"등,연장형",60755320,60755320,,주식회사 지스타,2021-06-14
K-2 전차,M00042825,375019024,5120.0,"풀러 및 펌프,콘넥터용",60755470,60755470,,동진테크,2021-06-14
K-2 전차,M00043078,375166335,1015.0,"마개 조립체,공축 기관총용",61500114,61500114,,현대로템 주식회사,
K-2 전차,M00043079,375166428,1015.0,"마개 조립체,포수 보조 조준경용",61500117,61500117,,현대로템 주식회사,
K-2 전차,M00043082,375166431,5140.0,"가방,공구용",61500122,61500122,,현대로템 주식회사,
K-2 전차,M00043083,375166432,5340.0,"손잡이,수동조작용",61500123,61500123,,건웅테크 주식회사,
